https://nepis.epa.gov/Exe/ZyNET.exe/91017TLR.TXT?ZyActionD=ZyDocument&Client=EPA&Index=1976+Thru+1980&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C76thru80%5CTxt%5C00000025%5C91017TLR.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL#,SO4,3.5,4.7,0.68,3.2,40.3,5.9,0.4,0.06,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,pH,10,9.6,9,7.4,8.15,7.7,9.35,10,7.1,5.5,7.1,9.15,7.9,2.3,7.75,5.95,5.95,6.1,8.3,8,8.55,8.15,7.7,5.7,5.7,6.9,13.3,,10.75,11.3,10.9,10.9,11,9.45,3.1,,,,11.95,10,5
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,TSS,808,1036,1270,187.7,177.6,14.9,354.1,54,,2082,,140.6,,,72,5.615,1.844,1.571,140,7,96,1541,464.3,39,69,5,,50.5,10.1,10,3.4,86,465,31.3,7,762,500,1310,83,80.2,57.7
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Cu,,,,,,,,,,,,,,,,,,,0.11,0.081,0.085,0.134,0.099,0.109,0.025,0.011,0.321,0.3,0.12,0.02,0.008,1.21,,0.229,0.088,0.076,0.3,0.32,0.026,0.001,0.15
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,As,,,,,,,,,,,,,,,,,,,,,,0.035,0.005,,,0.04,0.445,0.04,,,,,,,,,,,0.048,0.004,0.002
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ni,40.5,2.78,13.5,0.08,0.084,0.048,,,,,,,9.08,0.062,19.2,0.002,0.002,0.002,0.14,0.02,0.027,0.369,0.318,0.235,,,,0.012,0.005,,0.004,0.05,,2.682,,0.007,0.07,0.18,0.069,0.064,0.036
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Hg,,,,0.0006,0.0003,0.0006,,,1.563,,37.34,,,0.0077,0.0004,0.003,0.0072,0.0038,0.4,0.16,0.027,0.032,0.0742,,0.22,0.5,0.5,0.057,30.78,,13.35,0.017,0.007,0.4081,0.009,0.47,1,0.37,0.1694,0.1085,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Cd,285,365,151,108.2,129.5,46.17,63.3,0.11,4.688,37.47,15.17,0.457,29.2,177.3,17.27,0.001,0.001,0.001,0.47,0.015,0.024,0.049,0.041,0.025,,,0.067,0.046,,,,0.055,2.815,0.01,0.04,,,,0.023,0.014,0.004
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Cr,0.011,,,,0.001,,0.19,0.1,,,8.17,0.047,0.081,0.004,0.086,,,,,,,0.19,0.033,0.015,0.013,0.026,0.017,0.013,0.016,0.006,0.013,0.007,0.124,4.913,0.009,,0.016,0.009,0.006,0.036,0.06
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Pb,0.05,,0.02,,,,,,,,,,,,0.123,,,,0.07,,,,0.003,4.94,,,,0.078,0.039,,0.007,0.2,,,0.047,0.057,,,,,13.45
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Zn,0.53,0.35,0.35,0.009,0.006,0.002,0.06,0.02,,,,0.135,12.9,4274,0.15,4.011,4.228,3.75,1.16,0.41,0.23,272.5,98.2,0.473,0.12,126.7,444,27.92,12.15,12.2,12.43,29.4,0.04,3.675,1.06,730,495,206,1.595,13.3,0.342
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Al,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,,,,,,,,0.65,,,,,0.148,1.61
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Se,,,,,,,,,,,,,,,,,,,,,,0.035,0.005,,,,0.063,,,,,,,,,,,,0.025,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Co,,,,,,,0.11,0.04,,104.1,61.9,0.091,5.04,,0.047,,,,,,,,,0.176,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Fe,,,,,,,,,,,,,,,,,,,,,,,,54.9,52,,0.522,,,,,,,,,,,,,3.819,8.3
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ag,,,,,,,,,,,,,,,9.89,,,,,,,,,0.001,,0.007,0.001,0.06,0.0651,0.031,0.4298,1.48,46.9,0.016,36.3,,,,0.1922,0.1243,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Mn,,,,,,,,,,,,,,,,0.14,0.246,0.36,1.15,1.25,0.43,27.86,21.6,1.6,0.032,0.035,1.148,0.003,,,,0.009,,7.7,0.013,0.021,0.15,0.29,0.02,0.069,0.11
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Pd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Li,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Oil and grease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,NH3,2.9,0.67,1.15,2.27,2.49,4.07,3.2,1.4,,,,8.55,,5.16,6.69,,,,,,,,,,,,5,,1.4,0.28,0.28,,1.1,2.25,2,5.57,8.89,1.37,,1.1,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,SO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
