Source,Element,Concentration (mg/L),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
https://nepis.epa.gov/Exe/ZyNET.exe/91017TLR.TXT?ZyActionD=ZyDocument&Client=EPA&Index=1976+Thru+1980&Docs=&Query=&Time=&EndTime=&SearchMethod=1&Total Organic CarbonRestrict=n&Total Organic Carbon=&Total Organic CarbonEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C76thru80%5CTxt%5C00000025%5C91017TLR.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL#,TDS,5.08,9.280000000000001,3.6600000000000006,9.809999999999999,77.37,9.27,2.21,22.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyNET.exe/91017TLR.TXT?ZyActionD=ZyDocument&Client=EPA&Index=1976+Thru+1980&Docs=&Query=&Time=&EndTime=&SearchMethod=1&Total Organic CarbonRestrict=n&Total Organic Carbon=&Total Organic CarbonEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C76thru80%5CTxt%5C00000025%5C91017TLR.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL#,TSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyNET.exe/91017TLR.TXT?ZyActionD=ZyDocument&Client=EPA&Index=1976+Thru+1980&Docs=&Query=&Time=&EndTime=&SearchMethod=1&Total Organic CarbonRestrict=n&Total Organic Carbon=&Total Organic CarbonEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C76thru80%5CTxt%5C00000025%5C91017TLR.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL#,COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyPDF.cgi/91017TLR.PDF?Dockey=91017TLR.PDF,Cu,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyPDF.cgi/91017TLR.PDF?Dockey=91017TLR.PDF,Hg,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyPDF.cgi/91017TLR.PDF?Dockey=91017TLR.PDF,Cd,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyPDF.cgi/91017TLR.PDF?Dockey=91017TLR.PDF,Cr,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyPDF.cgi/91017TLR.PDF?Dockey=91017TLR.PDF,Zn,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyPDF.cgi/91017TLR.PDF?Dockey=91017TLR.PDF,Sb,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyPDF.cgi/91017TLR.PDF?Dockey=91017TLR.PDF,TDS,12.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyPDF.cgi/91017TLR.PDF?Dockey=91017TLR.PDF,pH,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyPDF.cgi/91017TLR.PDF?Dockey=91017TLR.PDF,pH,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyPDF.cgi/91017TLR.PDF?Dockey=91017TLR.PDF,TSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nepis.epa.gov/Exe/ZyPDF.cgi/91017TLR.PDF?Dockey=91017TLR.PDF,COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Cu,0.35,,,,,,,,,,,,,,,,,,,0.11,0.081,0.085,0.134,0.099,0.109,0.025,0.011,0.321,0.3,0.12,0.02,0.008,1.21,0.0,0.229,0.088,0.076,0.3,0.32,0.026,0.001,0.15
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Hg,0.2,0.0,0.0,0.0,0.0006,0.0003,0.0006,,,1.563,0.0,37.34,,0,0.0077,0.0004,0.003,0.0072,0.0038,0.4,0.16,0.027,0.032,0.0742,,0.22,0.5,0.5,0.057,30.78,0.0,13.35,0.017,0.007,0.4081,0.009,0.47,1.0,0.37,0.1694,0.1085,0.0
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Cd,0.02,285.0,365.0,151.0,108.2,129.5,46.17,63.3,0.11,4.688,37.47,15.17,0.457,29.2,177.3,17.27,0.001,0.001,0.001,0.47,0.015,0.024,0.049,0.041,0.025,0.0,0.0,0.067,0.046,0.0,0.0,0.0,0.055,2.815,0.01,0.04,0.0,0.0,0.0,0.023,0.014,0.004
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Cr,0.83,0.011,0.0,0.0,0.0,0.001,0.0,0.19,0.1,0.0,0.0,8.17,0.047,0.081,0.004,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.033,0.015,0.013,0.026,0.017,0.013,0.016,0.006,0.013,0.007,0.124,4.913,0.009,0.0,0.016,0.009,0.006,0.036,0.06
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Zn,0.59,0.53,0.35,0.35,0.009,0.006,0.002,0.06,0.02,0.0,0.0,0.0,0.135,12.9,4274,0.15,4.011,4.228,3.75,1.16,0.41,0.23,272.5,98.2,0.473,0.12,126.7,444.0,27.92,12.15,12.2,12.43,29.4,0.04,3.675,1.06,730.0,495.0,206.0,1.595,13.3,0.342
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Sb,0.43,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,0.0,,,,0.0,0.0,0.0,0.65,,,,0.0,0.148,1.61
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Se,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.005,,,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.025,0.0,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Co,,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.0,104.1,61.9,0.091,5.04,0,0.047,,,,,,,,,0.176,0.0,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Fe,,,,,,,,,,,,,,,,,,,,,,,,,54.9,52.0,,0.522,,,,,,,,,,,,,3.819,8.3
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ag,,,,,,,,,,,,,,,,9.89,,,,,,,,,0.001,0.0,0.007,0.001,0.06,0.0651,0.031,0.4298,1.48,46.9,0.016,36.3,0.0,0.0,0.0,0.1922,0.1243,0.0
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Mn,,,,,,,,,,,,,,,,,0.14,0.246,0.36,1.15,1.25,0.43,27.86,21.6,1.6,0.032,0.035,1.148,0.003,0.0,0.0,0.0,0.009,0.0,7.7,0.013,0.021,0.15,0.29,0.02,0.069,0.11
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Li,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.59,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,O&G,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,NH3,,2.9,0.67,1.15,2.27,2.49,4.07,3.2,1.4,0.0,0.0,0.0,8.55,,5.16,6.69,,,,,,,,,,,,5.0,,1.4,0.28,0.28,,1.1,2.25,2.0,5.57,8.89,1.37,,1.1,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,SO4,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,TDS,44.010000000000005,328.991,368.8,166.02,110.5596,132.08130000000003,50.290600000000005,66.86,1.67,6.2509999999999994,141.57,122.58000000000001,9.280000000000001,56.301,4456.5337,53.45639999999999,4.157,4.4841999999999995,4.1168000000000005,3.5,1.936,0.823,301.20400000000006,120.37819999999999,62.474,53.0,127.319,455.214,28.529,44.5751,12.536999999999999,26.5218,32.428,50.986,21.883100000000002,40.215999999999994,736.201,505.426,208.539,2.1736,18.7878,24.092
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,pH,,10.0,9.6,9.0,2.9,4.5,3.7,5.2,7.0,7.1,5.2,7.0,5.9,7.9,1.3,2.6,5.1,5.1,5.9,8.3,7.5,8.5,6.9,6.0,5.6,5.7,6.3,13.2,,9.3,10.5,9.6,10.8,10.0,7.5,2.6,,,,11.9,7.9,2.0
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,pH,0.7,10.0,9.6,9.0,11.9,11.8,11.7,13.5,13.0,7.1,5.8,7.2,12.4,7.9,3.3,12.9,6.8,6.8,6.3,8.3,8.5,8.6,9.4,9.4,5.8,5.7,7.5,13.4,,12.2,12.1,12.2,11.0,12.0,11.4,3.6,,,,12.0,12.1,8.0
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,pH,0.7,10.0,9.6,9.0,7.4,8.15,7.699999999999999,9.350000000000001,10.0,7.1,5.5,7.1,9.15,7.9,2.3,7.75,5.949999999999999,5.949999999999999,6.1,8.3,8.0,8.55,8.15,7.7,5.699999999999999,5.7,6.9,13.3,,10.75,11.3,10.899999999999999,10.9,11.0,9.45,3.1,,,,11.95,10.0,5.0
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,TSS,,808.0,1036.0,1270.0,187.7,177.6,14.9,354.1,54.0,0.0,2082.0,0.0,140.6,-,-,72.0,5.615,1.844,1.571,140.0,7.0,96.0,1541.0,464.3,39.0,69.0,5.0,,50.5,10.1,10.0,3.4,86.0,465.0,31.3,7.0,762.0,500.0,1310.0,83.0,80.2,57.7
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER CHLORIDE REDUCED CATHODE ELEMENT,COD,4100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
